name;grade;stars;address;gps;start_date;end_date;nb_adulte;nb_enfant;nb_chambre;link
Esplendor by Wyndham Asuncion;8,5;5.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/esplendor-by-wyndham-asuncion.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=1&hapos=1&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Dazzler by Wyndham Asuncion;8,4;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/dazzler-asuncion.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=2&hapos=2&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hub Hotel Asuncion;8,8;4.0;Asunción;;10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/the-hub.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=3&hapos=3&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Asunción Rent Suites Santa Teresa;8,3;;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/asuncion-rent-suites.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=4&hapos=4&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nobile Suites Excelsior Asuncion;7,9;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/hotexcel.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=5&hapos=5&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Holiday Inn Express - Asuncion Aviadores, an IHG Hotel;9,2;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/holiday-inn-express-asuncion-aviadores.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=6&hapos=6&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Villa Floreal Hotel Boutique;9,0;;Asunción;;10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/villa-floreal-boutique.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=7&hapos=7&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Aspen Hotel & Apart;6,9;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/aspen-apart.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=8&hapos=8&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Hotel Westfalenhaus;8,6;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/westfalenhaus.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=9&hapos=9&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Cecilia;8,4;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/cecilia.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=10&hapos=10&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Five Hotel;8,3;5.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/five-by-rochester-hotels.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=11&hapos=11&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Hotel Le Pelican;8,3;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/le-pelican.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=12&hapos=12&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Casa Sucre;9,1;;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/casa-sucre.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=13&hapos=13&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Hotel Palmas del Sol;7,8;3.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/palmasdelsol.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=14&hapos=14&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Danieri Asunción Hotel;7,8;3.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/di-danieri.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=15&hapos=15&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Resort Yacht Y Golf Club Paraguayo;8,3;5.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/resort-yacht-y-golf-club-paraguayo.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=16&hapos=16&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Hotel Portal del Sol;7,6;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/portaldelsol.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=17&hapos=17&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Gran Hotel del Paraguay;9,0;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/granhotelpy.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=18&hapos=18&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Paseo La Galería Hotel & Suites;8,6;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/de-las-torres.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=19&hapos=19&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Crowne Plaza Asunción, an IHG Hotel;7,8;5.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/crowne-plaza-asuncion.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=20&hapos=20&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Residencia Leones de Castilla;8,9;;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/residencia-leones-de-castilla.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=21&hapos=21&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
La Mision Hotel Boutique;9,5;5.0;Asunción;;10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/la-mision-boutique.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=22&hapos=22&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Guarani Asuncion;8,4;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/casino-guarani-esplendor.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=23&hapos=23&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
START Villa Morra Rent Apartments;9,1;;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/start-villa-morra-young-apartments.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=24&hapos=24&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
Asuncion Internacional Downtown Hotel;7,4;4.0;Asunción;[-25.2800459, -57.6343814];10-23-2022;10-25-2022;2;2;2;https://www.booking.com/hotel/py/internacional-de-asuncion.es.html?label=esrow-OtlvhU2CXhSVxek50Z_17wS410489931081%3Apl%3Ata%3Ap1%3Ap22.563.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9069967%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcUSe6BbHz0Ad_yDShFFSHQ&sid=4d4cdcff4501122cfa57392a74731fbd&aid=376374&ucfs=1&arphpl=1&dest_id=-910015&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=25&hapos=25&sr_order=popularity&srpvid=591b7cd80d9303b4&srepoch=1666547122&from=searchresults#hotelTmpl
